county,state,fips,cases,deaths
Autauga,Alabama,01001,6,0
Baldwin,Alabama,01003,15,0
Blount,Alabama,01009,5,0
Bullock,Alabama,01011,3,0
Butler,Alabama,01013,1,0
Calhoun,Alabama,01015,3,0
Chambers,Alabama,01017,27,1
Cherokee,Alabama,01019,2,0
Chilton,Alabama,01021,8,0
Choctaw,Alabama,01023,1,0
Clay,Alabama,01027,2,0
Cleburne,Alabama,01029,5,0
Colbert,Alabama,01033,2,0
Coosa,Alabama,01037,3,0
Covington,Alabama,01039,2,0
Crenshaw,Alabama,01041,1,0
Cullman,Alabama,01043,7,0
Dallas,Alabama,01047,2,0
DeKalb,Alabama,01049,4,0
Elmore,Alabama,01051,13,0
Escambia,Alabama,01053,1,0
Etowah,Alabama,01055,6,0
Franklin,Alabama,01059,3,0
Greene,Alabama,01063,3,0
Houston,Alabama,01069,8,0
Jackson,Alabama,01071,5,1
Jefferson,Alabama,01073,246,0
Lamar,Alabama,01075,1,0
Lauderdale,Alabama,01077,12,1
Lawrence,Alabama,01079,3,0
Lee,Alabama,01081,57,0
Limestone,Alabama,01083,16,0
Lowndes,Alabama,01085,1,0
Macon,Alabama,01087,1,0
Madison,Alabama,01089,80,1
Marengo,Alabama,01091,5,0
Marion,Alabama,01093,10,0
Marshall,Alabama,01095,5,0
Mobile,Alabama,01097,41,1
Monroe,Alabama,01099,1,0
Montgomery,Alabama,01101,22,0
Morgan,Alabama,01103,17,0
Pickens,Alabama,01107,2,0
Pike,Alabama,01109,4,0
Randolph,Alabama,01111,2,0
Russell,Alabama,01113,1,0
Shelby,Alabama,01117,79,0
St. Clair,Alabama,01115,13,0
Talladega,Alabama,01121,4,0
Tallapoosa,Alabama,01123,8,0
Tuscaloosa,Alabama,01125,23,0
Walker,Alabama,01127,30,0
Washington,Alabama,01129,4,0
Wilcox,Alabama,01131,2,0
Winston,Alabama,01133,2,0
Anchorage,Alaska,02020,59,2
Fairbanks North Star Borough,Alaska,02090,28,0
Juneau City and Borough,Alaska,02110,5,0
Kenai Peninsula Borough,Alaska,02122,7,0
Ketchikan Gateway Borough,Alaska,02130,13,0
Matanuska-Susitna Borough,Alaska,02170,2,0
Apache,Arizona,04001,13,0
Cochise,Arizona,04003,3,0
Coconino,Arizona,04005,68,2
Gila,Arizona,04007,1,0
Graham,Arizona,04009,2,0
La Paz,Arizona,04012,2,0
Maricopa,Arizona,04013,546,5
Mohave,Arizona,04015,6,0
Navajo,Arizona,04017,62,0
Pima,Arizona,04019,153,6
Pinal,Arizona,04021,51,0
Santa Cruz,Arizona,04023,2,0
Yavapai,Arizona,04025,12,0
Yuma,Arizona,04027,9,0
Arkansas,Arkansas,05001,1,0
Ashley,Arkansas,05003,1,0
Baxter,Arkansas,05005,1,0
Benton,Arkansas,05007,33,0
Boone,Arkansas,05009,1,0
Bradley,Arkansas,05011,4,0
Chicot,Arkansas,05017,2,0
Clark,Arkansas,05019,18,0
Cleburne,Arkansas,05023,56,2
Cleveland,Arkansas,05025,5,0
Columbia,Arkansas,05027,2,0
Conway,Arkansas,05029,2,1
Craighead,Arkansas,05031,6,0
Crawford,Arkansas,05033,2,0
Crittenden,Arkansas,05035,17,0
Cross,Arkansas,05037,2,0
Desha,Arkansas,05041,2,0
Drew,Arkansas,05043,2,0
